Description,Lengths,Weight,Code,A
24x76,,"4,674# ea",USBEAM,22.4
24x76,,"4,674# ea",USBEAM,22.4
24x84,271.0,"1,897# ea",USBEAM,24.7
24x94,267.0,"2,092# ea",USBEAM,27.7
24x94,480.0,"3,760# ea",USBEAM,27.7
24x117,200.0,"1,950# ea",USBEAM,34.4
24x117,231.0,"2,252# ea",USBEAM,34.4
24x131,169.0,"1,845# ea",USBEAM,38.6
24x131,176.0,"1,921# ea",USBEAM,38.6
24x131,218.0,"2,380# ea",USBEAM,38.6
24x131,348.0,"3,799# ea",SWF24131,38.6
27x84,165.0,"1,155# ea",USBEAM,24.7
27x84,357.0,"2,499# ea",USBEAM,24.7
27x84,442.0,"3,094# ea",SWF2784,24.7
27x102,153.0,"1,301# ea",USBEAM,30.0
27x117,145.0,"1,414# ea",USBEAM,
27x117,196.0,"1,911# ea",USBEAM,
27x117,279.0,"2,720# ea",USBEAM,
27x146,190.0,"2,312# ea",USBEAM,43.2
27x146,233.0,"2,835# ea",USBEAM,43.2
30x90,267.0,"2,003# ea",USBEAM,26.3
30x173,312.0,"4,498# ea",USBEAM,50.9
30x235,290.0,"5,678# ea",USBEAM,69.3
30x261,364.0,"7,917# ea",USBEAM,77.0
33x201,240.0,"4,020# ea",USBEAM,59.1
40x324,194.0,"5,238#",USBEAM,95.3
,0.0,,,
,0.0,,,
