Description,Pieces,Lengths,Weight,Code
21x68,2,279,"1,581# ea",USBEAM
21x68,1,362,"2,051# ea",USBEAM
21x73,1,278,"1,691# ea",SWF2173
21x83,1,234,"1,619# ea",USBEAM
21x83,1,252,"1,743# ea",USBEAM
21x93,1,201,"1,558# ea",USBEAM
21x147,6,480,"5,880# ea",SWF21147
24x55,1,102,468# ea,SWF2455
24x55,1,180,825# ea,SWF2455
24x55,1,243,"1,114# ea",SWF2455
24x55,2,504,"2,310# ea",SWF2455
24x62,1,139,718# ea,USBEAM
24x62,1,174,899# ea,USBEAM
24x62,1,224,"1,157# ea.",SWF2462
24x62,1,306,"1,581# ea",SWF2462
24x68,1,300,"1,700# ea",USBEAM
24x76,1,158,"1,001# ea",SWF2476
24x76,1,159,"1,007# ea",SWF2476
24x84,1,271,"1,897# ea",USBEAM
24x94,1,267,"2,092# ea",USBEAM
24x94,1,480,"3,760# ea",USBEAM
24x117,1,200,"1,950# ea",USBEAM
24x117,1,231,"2,252# ea",USBEAM
24x131,1,169,"1,845# ea",USBEAM
24x131,1,176,"1,921# ea",USBEAM
24x131,1,218,"2,380# ea",USBEAM
24x131,1,348,"3,799# ea",SWF24131
24x146,1,84,"1,022# ea",SWF24146
24x146,1,306,"3,723# ea",SWF24146
27x84,1,165,"1,155# ea",USBEAM
27x84,1,357,"2,499# ea",USBEAM
27x84,1,442,"3,094# ea",SWF2784
27x102,1,153,"1,301# ea",USBEAM
27x117,1,145,"1,414# ea",SWF27117
27x117,1,196,"1,911# ea",USBEAM
27x117,1,279,"2,720# ea",USBEAM
27x146,1,190,"2,312# ea",USBEAM
27x146,1,233,"2,835# ea",USBEAM
30x90,1,267,"2,003# ea",USBEAM
30x108,1,494,"4,446# ea",SWF30108
30x173,1,312,"4,498# ea",USBEAM
30x235,1,290,"5,678# ea",USBEAM
30x261,1,364,"7,917# ea",USBEAM
33x118,1,183,"1,800# ea",SWF33118
33x201,1,240,"4,020# ea",USBEAM
36x160,1,192,"2,560# ea",SWF36160
40x215,1,208,"3,727#",SWF40215
40x324,1,194,"5,238#",USBEAM
