Description,Pieces,Lengths,Weight,Code
24 x 62#,1,"18' 8""","1,157# ea.",SWF2462
24 x 62#,1,"25' 6""","1,581# ea",SWF2462
24 x 68#,1,25',"1,700# ea",USBEAM
24 x 84#,1,"22' 7""","1,897# ea",USBEAM
24 x 94#,1,"22' 3""","2,092# ea",USBEAM
24 x 94#,1,40',"3,760# ea",USBEAM
24 x 117#,1,"16' 8""","1,950# ea",USBEAM
24 x 117#,1,"19' 3""","2,252# ea",USBEAM
24 x 131#,1,"14' 1""","1,845# ea",USBEAM
24 x 131#,1,"14' 8""","1,921# ea",USBEAM
24 x 131#,1,"18' 2""","2,380# ea",USBEAM
24 x 131#,1,29',"3,799# ea",SWF24131
24 x 146#,1,"25' 6""","3,723# ea",SWF24146
27 x 84#,1,"13' 9""","1,155# ea",USBEAM
27 x 84#,1,"29' 9""","2,499# ea",USBEAM
27 x 84#,1,"36' 10""","3,094# ea",SWF2784
27 x 102#,1,"12' 9""","1,301# ea",USBEAM
27 x 117#,1,"12' 1""","1,414# ea",SWF27117
27 x 117#,1,"16' 4""","1,911# ea",USBEAM
27 x 117#,1,"23' 3""","2,720# ea",USBEAM
27 x 146#,1,"15' 10""","2,312# ea",USBEAM
27 x 146#,1,"19' 5""","2,835# ea",USBEAM
30 x 90#,1,"22' 3""","2,003# ea",USBEAM
30 x 108#,1,"41' 2""","4,446# ea",SWF30108
30 x 173#,1,26',"4,498# ea",USBEAM
30 x 235#,1,"24' 2""","5,678# ea",USBEAM
30 x 261#,1,"30' 4""","7,917# ea",USBEAM
33 x 118#,1,"15' 3""","1,800# ea",SWF33118
33 x 201#,1,20',"4,020# ea",USBEAM
40 x 324#,1,"16' 2""","5,238#",USBEAM
,,,,
